,content,rating,title
338,"I've ordered several things from amazon.com in the past 2 years.  Some have been exactly as ordered, while others seem to be misleading as to where things are shipping from.  Also seems to be a clearing house for LOTS of discontinued old stock merchandise.  With all this on top of their unethical/poor business practices... I'd rather buy from many other companies.",1,“Sometimes Less is not better” 
339,"I used to buy products from this site but refuse to do this anymore. The last purchase I made resulted in the worst possible shipping. If Amazon insists on using DHL, I will insist on shopping elsewhere.",1,“Awful shipping” 
340,"Has anyone tried to self publish an e-book with Amazon Kindle. If you have then you will likely agree with me. Writing any kind of book takes 100's of hours. Then there's your cover and so on. I found this company to be an absolute nightmare every time I published a book. Your formatting will always be wrong and your book will look terrible even if you use their own software. They will accuse you of copyright infringement and reject your book over and over. Sure I sold a few books, but I don't think it was worth the aggravation. I would advise you to look elsewhere. The last straw for me came when they started rejecting images. Not content but images from an online source that offers freely available content. And by the way, their mobi file format is ancient history.",1,“Amazon Kindle Publishing” 
341,"I bought a Grundig Satellit 750 Radio from Amazon, when it arrived in Bago City Philippines the shorwave did not work.   I had been warned that Amazon will often ship defective items to people who will have difficulties returning these!   I could not afford the $100 out of pocket after spending so much for this radio (plus customs and shipping) $558.59.  Amazon did not offer to reimburse me for the total costs to ship the item back to them DESPITE THE FACT THAT THE ITEM WAS DEFECTIVE  (offering only up to $20.00 of it).  So since the AM/FM works I decided to keep this DEFECTIVE RADIO!  Well due to the fact that our voltage is 220V here, I ordered a power cord for this radio from Super Power Supply and according to Amazon it was shipped via DHL but when I contacted DHL they said it was shipped via Global Mail ( REGULAR MAIL) but I paid $18.00 for this item to be shipped here via DHL EXPRESS!  I then went online to write a scathing review of this product and received this""Your review could not be posted.""  According to Amazon's TOS... This is the copy of that review.

""Buyer Beware SCAM ALERT!

I live in the Philippines and paid Amazon to ship this to my home address. According to Amazon it was shipped by DHL. According to DHL this item went Global Mail! I have not received the package. I can not ask for a refund due to the fact that I can't send back a package that I have not received! I have asked them to send another one but I doubt that this company will. I paid $18.00 with shipping and customs! This was not CHEAP SHIPPING! Yet this company decided to ship it via regular Philippines Post and lie and say that DHL shipped it! Do not trust this company! I have not received the item. I have waited a very long time to write this. I wrote a review earlier (thinking it was with DHL due to Amazon but this review is about the fact that it WAS NOT SENT VIA DHL) I guess we can't trust AMAZON either! Since their site says it was shipped via DHL! 

We encourage you to revise your review and submit it again. A few common issues to keep in mind: 

Your review should focus on specific features of the product and your experience with it. Feedback on the seller or your shipment experience should be provided at www.amazon.com/feedback.
We do not allow profane or obscene content. This applies to adult products too.
Advertisements, promotional material or repeated posts that make the same point excessively are considered spam.
Please do not include URLs external to Amazon or personally identifiable content in your review.""
This review you will notice does not have any foul language in it, other than mentioning Amazon several times and my expectation that when they say they shipped something via DHL that it actually is shipped via DHL and not REGULAR MAIL!.  You can not trust Amazon.  They will send you broken items that cost you hundreds of dollars due to the fact that you would not wish to trust them, or pay the very high return shipping costs!  But also they say that they ship a item via a carrier and it turns out to be a LIE!  Do not trust these two companies!
     There are very few companies that allow one the selection Amazon does and for me and others who are living in a foreign country (I'm from the USA) a company like this is very useful.  But when they send a radio as they did me, that is DEFECTIVE and which I paid such a large sum for, and then only offer $20 to return it...well enough said(?)  Do not trust Amazon with expensive purchases.  Do not trust the company I bought the cord from, as it was not the correct cord and was not shipped by DHL but by regular mails which has a history of theft here!  Ok?  So that is all I have to say about this.",1,“Defective items and shipping...” 
342,i ordered a book on oct 15 delivery expected on nov 7 i still have not received it. amazon not responding to any emails and they blocked all of my reviews because they only allow pisitive reviews they also refuse to give tracking info and a refund i have been a loyal customer for ten years but never again!!!!!,1,“no customer service” 
343,"Amazon WAS great, I filled out some survey online, and then there was some kind of a Amazon promotion that was going on along the lines of getting a $100.00 voucher, I called Amazon to inquire about this, they told me it was a new program, and they also assured me that I WOULD NOT BE CHARGED $100.00 AND THEY ALSO TOLD ME IF THERE WAS A PROBLEM THAT THEY WOULD TAKE CARE OF IT, THAT WAS A LIE!!! AMAZON EMPLOYS THIEVES AND LIARS AND THEY SHOULD HAVE SAID ON THE PHONE, IN THE PAST WE TOOK CARE OF YOU, BUT NOW WE ARE GOING TO SCREW YOU OVER, WHICH IS WHY I CALL THEM AWFUL AMAZON. SO I CALLED BACK I WAS EXTREMELY UPSET, MY ACCOUNT HAD BEEN CHARGED $100.00, I WAS YELLING AND SWEARING, THAT PERSON HUNG UP ON ME, THEN I CALLED AND TALKED TO ANOTHER PERSON THAT WASN'T HELPFUL AT ALL. THEN THE STUPID CHICK THAT I TALKED TO KEPT ON INTERRUPTING ME!!!!!!!! AMAZON....YOU SUCK!!!!! AMAZON DID NOTHING TO REFUND MY MONEY, AND NOT ONLY THAT IT MADE MY ACCOUNT OVERDRAWN. I WILL NEVER USE AMAZON EVER AGAIN. YOU SUCK AMAZON!!!!",1,“WAS>>>>>>” 
344,"Supporting Jeff Bezos should be a crime of high treason. This guy owns the Washington post, which is a globalist CIA psyop yellow journalist rag that is unfit to even be used for toilet paper (it rips far too easily). Each dollar you give to Amazon sharpens the globalist guillotine over the head of America!! Just say no to globalism and Amazon!",1,“Jeff Bezos” 
345,"Got carton of boxes, only got 1 box.  Seller would not send rest of carton, took forever to get ahold of Amazon CS to take care of this issue ... still waiting for refund!!!",1,“Pissed Off” 
346,They block account for no reason...Pathetic!!,1,“I never received my digital gift cards” 
347,"I ordered a small round frame as advertised on Amazon website, I received a square frame instead; I asked if I could return it and get a refund, to do so I would have had to send the frame back to America, the postage from Australia to USA was more than the cost of the frame; the order number was: Order #103-8630333-7877823 so I had to keep the frame which is useless to me.",1,“Will never use amazon again” 
348,"They never live up to their shippng promises.  They promise 1-2 days and deliver 10 days later.

They manipulate people into their PRIME program.",1,“lousy shipping” 
349,eh,1,“eh” 
350,"i would jst like to say never buy from this site,",1,“worst site” 
351,"Hi, I absolutely love amazon and especially amazon prime. However, I purchased a yeti 30 oz paracord handle from a seller for $6.50, prime shipping. Long story short, come to find out the paracord is not true paracord and the handles are ""handmade"" in China (per the seller). Nowhere in the listing did it state this. Amazon should be more vigilant on things like this. I assume (my fault)  that anything ""handmade"" on Prime is made in the USA, not purchased in bulk from china and sold under false pretenses :(",1,“MOCE seller : China knock off products on amazon” 
352,Spent top dollar for my mother's ring. And it is nothing like they show on their website.,1,“deceptive. over priced” 
353,Amazon assumed that oscila gave me my money back I ordered something a month ago how did Amazon close my complaint when the seller to give me no money at all the seller was quick to take my money within a few minutes why does it take 2 weeks to give me my money back when I ordered something a month ago now they're Amazon provide poor customer service like this and close my case over $17 Amazon lost me for life they can go to hell,1,“terrible customer service” 
354,"So, my Kindle Voyager died that I purchased in Feb. 2015.  I jump on chat, they take me through the paces, and decide it can't be fixed.  What do you mean it can't be fixed?  It's just a dead battery.  Oh, we can't fix hardware problems.  Okay, well, I'm not paying $199 retail for a brand new one, so, what can you do?  Answer: $20 off a new one.  NOPE!  I call, speak with a guy named Arthur.  I explain everything, and he says not to worry; which immediately made me suspicious.  I tell him I need to purchase it on a payment plan after he tells me he's selling me the new device for $100.  He says he'll give me $40 credit to be used as the first payment, and put $59.99 in my account to be used to make subsequent payments.  I made him explain this 3 times.  He kept saying not to worry, and he'd send me an email with all the details and his name ... just purchase the device, and he'll do all these things on his end.  So, I do it and wait for the email.  I get the email, and it says $159.99 for the device with payments to begin the first month and his name is missing.  Now, all the messed up crap begins.  I decide they lie over the phone, so I start a chat.  The woman is a moron and can't understand what I said happened during the transaction on the previous day.  We go around and around, and then she then says she found $59.99 sitting in promotional credits and can't be applied to payments.  WHAT?  What does that mean?  It means the $59.99 can only be used for future purchases.  I tell her that's not right, and someone needs to fix this.  She passes me onto someone else who says he will refund $59.99 to my card.  Hours have past, and it's like 1am.  I'm so tired at this point, I'm almost falling asleep.  I tell him to do so, and I'll check back the next day.  I check my account & emails the next day, and nothing happened.  I'm saving some of these chats since amazon.com conveniently doesn't allow you to save them.  I call to speak with a supervisor, and I'm already tired and frustrated.  I get passed around, put on hold for 45 minutes, and hang up.  I call back and get hung up on at least 5 times.  Now, I'm steaming mad.  I'm back to chats since people are jerking me around over the phone.  I tell them someone needs to fix this, redo the payment schedule so that the device is $100 like Arthur promised me it would be.  I get passed around some more.

I ask to speak with a supervisor, and I'm absolutely sure I wasn't speaking with a supervisor who blew me off.  Every month, I'm chatting with people, pasting previous chats in the window from Word documents, and asking them what they plan to do.  I get the device, and one of them tells me to send it back and they'll redo everything for $100.  I ask him if he thinks I'm stupid, because everybody is saying something different and now I don't trust any of them.  Send me an email saying this is what would happen if I send it back.  He says no, which makes me know he's lying too.  In September, I file a BBB complaint.  Whoever answered refunds $41 because they took so long, I bought some mp3's which reduced the credit, and before I could ask about redoing the payment schedule, the BBB closes the case.  So, I enter another BBB complaint about that.  Nothing happens.  I get into another chat whereby that rep says he will have someone from the BBB division of Amazon.com address the complaint.  Nothing happens again after a couple of weeks.  So, then I enter in a complaint with the Attorney General of the State of Washington ... Seattle.  Someone at Amazon.com sends back a double-talking response without addressing the payment plan ... again.  The Attorney General's office says there's nothing they can do and to go to small claims court for resolution.  I send back an email with ALL the chats attached and tell them I've been deceived, and small claims court where?  Washington?  I don't think so!  These people act like this isn't an online company and the laws of one State can govern the laws of another.

So, now Amazon.com decides to deactivate my device on 10/7/16 so it can't get any books online.  Fine with me!  It's their money they're losing out on, not mine.  And for what?  Just so they can do and say whatever they want to and not do right by me?  I'm in dire straights, and they keep sending emails saying they want to take $80 from my card, instead of $40 twice and one payment of $20.  I've spent thousands of dollars with Amazon.com on various products over at least 10 years, and they dare treat people like this and make me out to be a liar about the whole thing?  I tell them if they were paying me by the hour, with all the hours, days, months I've spent trying to get them to do the right thing, the device would be paid for by now.  My time is money too!

Nobody is a consumer advocate for online businesses, and a company as large as Amazon.com thinks it can do whatever they want.  I think I've also written the FTC ... not sure ... but, they're another useless organization who does nothing about anything.  Companies are running rip-shod over consumers, and are being held accountable for NOTHING!  They're a monopoly, and there's almost no way around purchasing things online without going through Amazon.com.  I'm disgusted and definitely looking for other options to help with this.  Any ideas, folks?",1,“Kindle Voyager Nonsense!!!” 
355,I never got amazon digital gift cards...,1,“Bad Experience” 
356,"Hi guys, I want share some experience about my shopping in Amazon they gave a offer like motog4play with power bank I paid for both on the time of delivery I got only mobile power bank is not there I enquired so many times there is no reply from Amazon finally I got message that your order is delivered successfully with power bank it is totally fraudulent activity I try to contact them so many times they are showing their own tricks in conversation.please prove that how powerful costumers pls don't buy anything with this people. this is my experience i will never suggest this website to my friends & relatives",1,“This people are not reliable” 
357,I do not shop here no more. My creditcard was compromised,1,“warning” 
358,"Amazon now has a new service through Prime, called Prime Reading. Great idea, but if you have a family membership, and why would a husband and wife have anything but that, only the original member can borrow, and they can't share those books. As the 2nd person on the account, called an invitee, they are happy to have me purchase items through Amazon, but as far as book borrowing, or kindle first? No, I can't. What is it really costing them to allow me to borrow those books? Thankfully their offerings aren't anything that great, and I do have access to 2 different library systems, but maybe this is a reason to look into getting a Nook next rather than a kindle.",1,“Prime Reading” 
359,4-6 days shipping because it's what I could afford.  I did not realize that meant they would sit on the package only shipping it on the 5 day to deliver it on the 6th.  felt kind of screwed.  since they could have shipped it any time but instead punished me for being poor.,1,“$#*!ty shipping.” 
360,Than tell you that your bank rejected you,1,“they take there time taking money out of your account” 
361,I bought a diffuser and in less than 3 mts and all the guy said at the way have a good life what does that say about customer service.,1,“Terrible products” 
362,Amazon gives very worst service and while calling they are unable to solve ur problems. They never initiate refund of defective product so don't buy any product.,1,“Worst service” 
363,"Amazon.com sucks! Their customer service reps are useless. If you have to call more than once on a problem you get a different rep every time. The previous rep doesn't always note the details of your phone call so the next time you call you discover that the previous rep lied to you in whatever they told you. And if you call a third time it only get worse. 

It is even worse if you bought the item from a third party vendor and not Amazon itself.

Amazon's listings are the worst for product information. Then if you call Amazon for further info on a given product the phone reps have no idea about product info beyond what's on the screen in the listing.",1,“All Smoke and Mirrors” 
364,"I needed a bed quickly for my mother going into assisted living. Had a nightmare experience with overstock.com, but Amazon came through with quick delivery.",1,“So easy and reliable.” 
365,Clothes will not fit no matter what size you order,1,“Do not buy clothes” 
366,"I am an indie author. I have dealt with Amazon for over a year and half. Mostly a good experience. But I am frustrated by the lack of professionalism and double standards Amazon has when reviewing submitted campaign text. I don't mind my add being rejected because of grammar errors etc..I'm not that good in that department sometimes. (Or text that is sexually explicit.) 

But when my add is rejected for a few words that implied affection and desire by my two main characters. I thought you have to be kidding! I did my research prior to submitting my new campaign. And checked out what other author's add text said....far worse than mine! However these particular authors were making Amazon alot of money. I'm Not! Double standards! Unprofessional!

I contacted the review team via the support comment box and I was told each campaign text is reviewed on a case by case basis. And my add was declined for its implied sexual content. Hmm so if you make Amazon loads of money you get preferential treatment. And you can say whatever you want. The sexually  descriptive text I read when researching on Amazon book site was very racy.  My add text far from it.
Has any one else had issues with Amazon Marketing? 

I must add Support was very quick to respond to my concerns when I told them I was closing my account and I wanted my credit cards deleted. Otherwise there is no support!",1,“Amazon Marketing Review Team has Double Standards!” 
367,"I am a seller. Amazon makes a ton of money off of me but they provide horrible service. I have contacted support about a dozen times. Only once did someone know the answer to my question. They have even advised me to violate Amazon policy. There is absolutely no way to file a complaint. When I demanded to know a contact, I was told to contact SHATTEL WASHINGTON.  I had never heard of that town and repeatedly asked for a spelling. IT WAS SEATTLE. SHE DIDN'T EVEN KNOW HOW TO PRONOUNCE THE COMPANY HEADQUARTERS!!!!!",1,“Reps don't know English” 
368,"I have been a member since 2012. It changed drastically. Iam a PRIME MEMER. I order some tooth pain jell for 7.50.  It said 0 shipping.  So I put it thru. It came in the mail damaged.  It looked like a truck ran over it.  It broke the tube. Amazon wanted it back. I sent it with something else.  They sent it back to me instead of the seller. So I looked it up.  AMAZON CHARGED ME 59.95 for shipping a 7.50 tooth gel.  What the heck. That is not on my receipt. I caught them again.  It took 2 weeks and 3 calls to get my money.  If it was not damaged. I would have not caught them ripping me off. I did not authorize it. Walgreens is a block from my house.  I could have walked for free.

At Christmas I sent back a Carhardtt men's coat and hat.  They disappeared.  After a month they found the coat.  Three months later the hat arrives from Amazon Marketplace with a note.  They were calling me A liar and I did not send the items back.

WHO IS SENDING IN THESE LIES ABOUT AMAZON? EMPLOYEES.

PANDORA BRACELETS ARE ALL FAKE.  NOT GENUINE AT ALL.  THE CLASPS ARE WRONG. AND THEY WILL NOT STAY SHINY. AMAZON KNOWS.  CALL PANDORA.

IF YOU WANT A FAKE.  SHOP AMAZON... LOOK UP THE SELLERS.  ITS AMAZONS COMPANY. I GUESS TO BE A BILLIONAIRE YOU HAVE TO HURT PEOPLE.

One meat thermometer site has on it if you buy from Amazon it is a fake.

REMEMBER, IF IT TOO GOOD TO BE TRUE.  IT IS.  JUST SIGN UP FOR EMAILS FOR YOUR FAVORITE THINGS. THEY ALWAY SEND GREAT SALE DISCOUNTS.

I HAVE HAD SEVERAL ISSUES.  BUT THE 59.95 really made me angry.",1,“ITS GETTING WORSE OVER THE YEARS.” 
369,"Amazon states, they bill you when the order ships, well my credit card got billed over 6 hours later on 3 orders that didn't ship.  I checked with the bank, the items were manually processed for payment at Amazon to my credit card prior to shipping.  They lie.  They bill before they ship.  Also I had an order cancel - and over 6 hours later, they billed my credit card and the email they sent on cancellation stated ""Don't worry your not billed anyway until the order ships.""  What a joke..  I don't like dishonest companies that lie and would not refer them to anyone for beans.  At least Ebay is honest and they don't lie.",1,“Don't shop Amazon - they lie - shop Ebay they don't lie” 
370,"Ordered a birthday present from them a year and a half ago.  Arrived on time, no complaints there.   BUT....   They apparently now follow me around everywhere I go, whether I want it or not.  Have never downloaded an app, I block cookies, but they do it anyway...  Earlier this year I wanted to research a small subculture in India, when suddenly a popup appeared from Amazon telling me they could sell me both a book and DVD about the group.  I called, complained.  They adamantly refused to tell me how to get rid of Amazon's installation, told me to call Apple.  Once in a while, I accidentally touch something on the tablet's keyboard and a long, vertical popup appears in lavender print, entirely in alphas aand numerics except for one word at the top:  Amazon.  So firstly there is this violation of privacy and secondly, why would I pay more plus shipping for the same thing I can get from a brick and mortar mom and pop locally?  I would never buy enough to want Prime, and they lost my patronage when I found out they spy on all my online activities.  It was creepy.  They charged more for that present than the local store, and charged more for shipping than if I did it myself.  I can't even go there to see what merchants sell, and then go directly to that merchant, because Amazon tracks me everywhere, apparently.  It was their stubborn refusal to tell me how to eject them from my tablet that concerns me.  By the way...  I just phoned Amazon to tell them that I am starting to warn people online about their invasion of privacy, and the first person that answered is a Filipino... I demanded to speak to an American that I could understand without a Creole accent.  I think Amazon should be hiring Americans, there are plenty of jobless Americans who have families to support, but Amazon is on the cheap and doesn't care about their own country.",1,“Creepy invasion of privacy” 
371,I have a samsung J7 which i got in oct 2015 its lcd had a issue and when i asked for warentee they said they cant and informed to buy the lcd for 6600 when i was ready to do purchase samsung ameerpet service center took my phone on aug 12 th and with out informing me they canciled the ticket and the shop is clossed till now and phone is switched off. When i called toll free number of samsung they r the most irrresponsable pleple. I dnt get my peace back till now and info also . Think 100 times before you buy a samsung mobile.,1,“worst service of samsung” 
372,We ask questions but don't have time to have 5 pages for 1 answer,1,“Answer question without having to go to other page” 
373,"I've been using Amazon Prime for about 8 years and did not have much problem with it. However, with a recent event I have decided not to use the website any more no matter how convenient it is. I have a nephew with cerebral palsy and need a new wheelchair for school. I ordered the chair on 8/9 with Amazon Prime expecting it to arrived on 8/11. It's now 8/15 and the kid still did not received the wheelchair for his school. This is his first day in a brand new school. He was so disappointed. Apparently the chair was sent to its final destination which is somewhere in Ohio and I live in Florida. The shipping address was correct on the order form. This is so frustrated and the kid is devastating. When we called to asked why the chair was sent elsewhere, we were hung up twice. Finally, we had a chance to talk to the supervisor and the answer was: we will look into it. At the end, the kid will be without a wheelchair for another 3-4 days.",1,“poor customer service” 
374,I purchased a dress for my cousin's birthday on 5 June and they delivered me now after 64 days. :(,1,“so bad” 
375,"West Coast Shop business is a disgrace! They refused to provide a free return on shoes, as they advertise online at amazon.com ""Free shipping, Free return"".
 I cannot believe they can deceive a customer like this !",1,“West Coast Board Shop return policy” 
376,"Just ordered three cell phones using three different gift cards. Amazon received authorization of funds and had funds transferred to their account. Then the orders were declined due to payment type, even after getting an authorization approval of funds and transferring them to their account?? The cards are no longer any good to use on any other site, Amazon has the money, and even though the orderes were declined due to the payment type, they still took the money and are holding it for 3-5 days, to determine whether or not to release it back to the bank. Bait & Switch, Scam, how many people get their money held for no apparent reason. Amazon couldn't explain why they didnt accept the Gift Cards?? Also they said only one gift card had been approved and authorized, but actually all three cards were authorized and all funds transferred to their account! Caught in a LIE!!",1,“Amazon acccepted the funds but declined the orders” 
377,"I'm not a huge Amazon shopper because their prices are generally higher than my other options but I always check.  I do have Prime and love using their music app.  I also like the movie and tv show apps and I even have a Fire Stick which is side loaded.  Customer service about order issues is great.  

As for shipping, I'm literate enough to understand that if something may not be in stock or that it may not be sorted into the warehouse yet and that there may be a delay and shipping times start when the packages ship.  If I am not a Prime member then I won't receive as fast of shipping because I can't get faster shipping than those who pay for the faster shipping option.  That would make no sense!  I know that a package isn't late until the expected delivery date has passed.  Amazon can shipping the day before the expected delivery date and still get it on time many times.  I know to double check the expected delivery date on the checkout screen as that will show me the date and if I choose to procede, that means I accept that day.  It does not mean I see the date but hope it arrives sooner and if it doesn't I throw a fit.  Also, this delivery date will tell me if a third party seller is in another country.  If the expected delivery date is a range of 2 weeks 3 weeks out, it is not in my country.

Amazon does have some add on only items.  These will only be able to be purchased with orders over $25 sold and fulfilled by Amazon.  It can include all add on only items.  These items aren't big sellers and cause losses by making them available to be a single item delivery.  Instead of increasing the price, they offer it as an add on item.  Would you drive 20 miles to the store to purchase a pack of gum?  Most add on only items have a list of other sellers on the right hand side.  These are either higher priced or have a shipping fee.  Sometimes the add on only item will ship by itself if it's in a different warehouse than the other items.  This doesn't make the add on only feature a waste.  That means the entire order made shipping and handling it not be a loss for them.

The rest of their customer service departments are not helpful.  Reports aren't taken seriously and often ignored.   They allow abuse in their forums and also allow some very nasty posts to be posted as well as bullying and public shaming while removing the dumbest of things.

There is a group of nasty, dirty, hateful old ladies and a some men that think these women are the fake photos they share who spend their entire day looking for reviews to make fun of.  They then share them on the forums so others can go look and downvote that reviewer.  They write nasty comments on the reviews and Amazon allows it.  People should not be afraid to write reviews.

Other forums are fool of the most disgusting posts with inappropriate language and subjects.  Amazon allows in even though it looks horrible on their behalf.  Is it that their reps don't understand English enough to know that eating poo isn't an appropriate topic.

Also, Amazon allows fake profiles that are attacking sellers and products for no good reason.  They write rude questions and reviews even though they don't own the products.  With heaps of evidence sent to them, they still let these nutjobs play on Amazon.

Lastly, Amazon is removing reviews and reviewing privileges of people they believe are violating their TOS but many people never violate their TOS and lose their reviews while people obviously violating their TOS and having been reported countless times are free to write their garbage reviews.

Amazon priorities are a total crapshoot.  After my Prime membership is up I am going to be cutting ties with Amazon because I won't be out anything.  I can get my items elsewhere with no problem.  They have gotten their priorities so out of whack lately and out sourcing their employees isn't helping them with these issues as they don't understand English when you contact them.",1,"“Shopping ok, forums are disgusting” "
378,Bought a phone cord that immediately fried my phone. Amazon would do nothing about me being out $500 to replace my phone. They would only refund cord. No insurance to look after your customers 're losses for products sold on their site? Takes no responsibility? As a customer you are on your own worse then being it from a garage sale. BEWARE!,1,“Beware of no support from Amazon!” 
379,"well, do not even try to do so, it will a 100% waste of your time. This company deserves to be avoided. It will put every small business entrepreneur OUT of business, with lower prices but nothing else. The company takes over every business on the face of this planet and eliminates the tiniest opportunity for anybody do start a business. Think about this, before you support an organization like this, owned by Bezos, a dyed-in-the-wool lefty-progressive. 
Not good for the future of America and a middle class based on business opportunities and small business. Please consider.",1,“have you ever tried calling Amazon?” 
380,"Amazon, F
Ebay, A",1,“Amazon sucks... Ebay is 100% safer and better prices!!” 
381,Good prices,1,“Discount” 
382,"Amazon and I have parted ways, partly for the reason that their customer service is outsourced, barely speaks English and totally unreliable.  You really have to take their advice with a huge grain of salt.  

As a buyer, I have experienced situations when I ordered an item of a certain color but received a different color with an explanation that they were out of stock on the color #1.  That color however still was listed up for sale, even though being out of stock.  Amazon doesn't care.

So it just wasn't working, and I requested my account closed.  I am now a Top Rated Seller on eBay, and am happy with that.  Am buying on eBay, too.",1,“Customer Service leaves much desired” 
383,"When I first signed up for prime a few years ago, I just wanted it for the 2 day shipping because the rest of the benefits just seems meaningless to me or lame. You used to get everything in 2 days if you ordered by a certain time at the day. U see something like order by this time and get it by the day. That was always accurate. Now I always get super slow prime items, one recently ordered on a tuesday for a flash drive took until monday. and frequently my items take 4 days etc. these are not 3rd party sellers because i try to only buy from amazon directly to get the fastest shipping. they just simply arent fast or any good anymore or most importantly reliable. the worst part is before they used to try to be nice and give 1 month prime extensions and ive had people offer me 10 dollar refunds multiple times or the extensions but this was a long time ago. now they only make excuses and never do anything to make sure I am satisfied about my prime shipments being extremely late. I've exported my amazon purchases on my account and added them on excel and have spent like almost 10k dollars and you would think they would at least allow me to not have to pay 100 for this joke service on top of that. i do not recommend prime to anyone. if u are looking for 2 day shipping its not here. they do not care if u get it in 2 days or not and frequently u wont. could be 5 business days like mine took.",1,“Amazon/Prime steadily getting worse over the years” 
384,"Wow, what a piece of trash this so called site has become. I just closed my 17+ year old account out of disgust.

My problem, the fake reviews, so called vine program, and tons of fake ass nonsense Amazon has going on. I got an email from at least one honest person at Amazon referring to""testing"" certain accounts and voting features of ""certain accounts"". Which was part of my complaint. 

Then after all of this started they started deleting some of my reviews without even telling me! Not letting me edit my reviews. Things got completely stupid with how they were manipulating my account, and maintained the ENTIRE time they were not.

I keep chuckling at one of my phone calls in the middle of this sh!tshow. This guy kept saying, I'm going to hang up if you don't stop swearing. But I had not sworn. Normally my talk is peppered with extremely colorful language, to say it sweetly. So I very clearly am aware while talking to any support person about my language. F##king idiot. 

Basically there is some major BS going on and when I directly called them out they continued to lie and tell me to clear my cache, and other insults to my intelligence, not to mention my email PROOF ACKNOWLEDGING they were doing something. I got nowhere with the BBB complaint. So I finally closed my very old account out of pure digust and frustration. 

My advice, run every product URL through fakespot.com first before purchasing anything else! Will save some major headaches, but unfortunately not all. Good luck with these jokers and their ""two day shipping"". Which rarely is ever really two days. Amazon, go f##k yourself. I say that from a place of deep respect.",1,“Wtf happened to this company?” 
385,"I am a Prime Amazon Member. I ordered a new $1300.00 TV that I found on Amazon which was promised to be delivered ""next day"" on July 6, 2016. The date was updated to July 7, 2016 online when I checked the status online. I called and was told that it would definitely be delivered on July 7th and that Amazon would refund my next day shipping. I waited all day on July 7th for the TV. The TV never arrived. I went online and it said that it was coming by MAIL and that it was in transit! I called Amazon and asked how in the world could they guarantee ANYTHING sent by MAIL to be delivered the following day...and how could they send something so expensive and fragile BY MAIL? They had no answer. The agent put me on hold and said that she would call the USPS about the delivery. She came back online and said that she had spoken with the USPS and had been told it would be delivered by 3:00 p.m. She told me that she would call me back at 4:00 p.m. to confirm the delivery. At 4:20 p.m., I had no TV and no call from Amazon. So, I called Amazon. All the agent could tell me was that, in checking his tracking information, he could see the TV was ""in transit."" I told him that I KNEW that much as I could see it when I looked myself. He told me at that point that the TV would ""probably come tomorrow or the next day."" I told him that I had reserved a man to come out to mount my TV based upon Amazon's ""guarantee"" and all he could say was, ""I'm sorry. I know you are frustrated."" At that point I told him to cancel the order and I would go to Best Buy and get the TV there for the same price. He told me that he canceled the order. I also told him to cancel my Prime Membership as well. I am done with Amazon and their delivery ""guarantee"" days which, obviously, mean nothing at all. 

UPDATE: The Amazon Representative did not cancel the orde and it arrived the next day by mail carrier. I refused the delivery as I had already purchased the same TV from Best Buy the night before. The ironic thing about that was when the mailed TV arrived, the guy was at my home mounting the one I had bought at Best Buy! I'm still waiting for my refund from Amazon on my credit card of over $1300.00 and filed a dispute with AMEX just in case. Amazon says it can take up to two weeks to get the money refunded as returning the TV can take that long to get to them. They did give me $100.00 on my AMEX as a ""goodwill"" gesture for all the issues with this order. The Amazon representative also did not cancel my Prime as I had asked them to do. I seriously think that their representatives say ""Yes!"" To just about everything and understand very, very little English.",1,"“Do not count upon ""Guaranteed Delivery Dates""” "
386,"My wife and I have been consistent Amazon customers for many years.  Recently, a good friend of ours wrote and published a book, which was--and is--marketed on Amazon.  We bought several copies from Amazon, gave some to friends, and each read our own copy.  Then, we each posted a review on Amazon.  Our reviews were favorable because the book is very well written, and a lot of fun.  However, Amazon chose to delete both our reviews because they deemed them to be ""too favorable.""  When my wife called them, they refused to reinstate the reviews, and were arrogant, condescending and borderline rude.  Their attitude is unacceptable.  We will be avoiding the site whenever possible from now on.  I have made two purchases online since, but used Amazon only to identify original sellers, then I go directly to them, bypassing Amazon.",1,“Devious and insulting” 
387,Amazon and USPS seems not to be sync and blame each other for the delay. If you are receiving your amazon orders then that good for you but be cautious for any time critical delivery at a new place.,1,"“Ordered thrice, never got the delivery” "
388,"Too many people are scamming ,   if you want the real deal,  go walk into a actual store",1,“Bull hockey” 
389,Amazon provides duplicate and third grade products through sellers who are not only cheat but also trying to double cross customers by providing fake products. Hopeless online site and much below standard. Should be taken to task through consumer forum. In comparison to snap deal and other online portals it is so hopeless that should be banned .,1,“Hopeless and even it is painful to give one point.” 
390,"Many people may have great experience buying from Amazon but many do NOT know how Amazon hurt the sellers by not fully reimbursing them for shipping.  

Every item I have sold on Amazon, I have lost money by selling on Amazon because of shipping cost.

Amazon will always side with the buyer when a seller makes bogus request for refunds.  There are many horror stories about this.  Some where business go under because Amazon locks their account from accessing the funds for paid customers.

There are many other complaints about Amazon.  Just do a search.",1,“Review from a Seller side” 
